Freq.	V(n003)/V(n005)
1.00000000000000e+06	(2.11617862123564e+01dB,1.78138459064507e+02°)
1.00695555005672e+06	(2.11617325584961e+01dB,1.78125507975099e+02°)
1.01395947979003e+06	(2.11616781563412e+01dB,1.78112467024965e+02°)
1.02101212570719e+06	(2.11616229954724e+01dB,1.78099335591689e+02°)
1.02811382665607e+06	(2.11615670653072e+01dB,1.78086113047831e+02°)
1.03526492384138e+06	(2.11615103551378e+01dB,1.78072798763201e+02°)
1.04246576084112e+06	(2.11614528540891e+01dB,1.78059392102529e+02°)
1.04971668362307e+06	(2.11613945511459e+01dB,1.78045892425420e+02°)
1.05701804056138e+06	(2.11613354351398e+01dB,1.78032299089429e+02°)
1.06437018245336e+06	(2.11612754947324e+01dB,1.78018611444618e+02°)
1.07177346253629e+06	(2.11612147184461e+01dB,1.78004828838159e+02°)
1.07922823650443e+06	(2.11611530946364e+01dB,1.77990950614315e+02°)
1.08673486252606e+06	(2.11610906115006e+01dB,1.77976976110534e+02°)
1.09429370126074e+06	(2.11610272570608e+01dB,1.77962904660523e+02°)
1.10190511587661e+06	(2.11609630191873e+01dB,1.77948735593437e+02°)
1.10956947206785e+06	(2.11608978855749e+01dB,1.77934468234624e+02°)
1.11728713807222e+06	(2.11608318437354e+01dB,1.77920101902507e+02°)
1.12505848468881e+06	(2.11607648810338e+01dB,1.77905635913957e+02°)
1.13288388529580e+06	(2.11606969846333e+01dB,1.77891069578860e+02°)
1.14076371586843e+06	(2.11606281415410e+01dB,1.77876402203941e+02°)
1.14869835499704e+06	(2.11605583385646e+01dB,1.77861633089653e+02°)
1.15668818390529e+06	(2.11604875623325e+01dB,1.77846761532458e+02°)
1.16473358646846e+06	(2.11604157993024e+01dB,1.77831786824795e+02°)
1.17283494923188e+06	(2.11603430357253e+01dB,1.77816708253507e+02°)
1.18099266142953e+06	(2.11602692576756e+01dB,1.77801525100577e+02°)
1.18920711500272e+06	(2.11601944510194e+01dB,1.77786236642330e+02°)
1.19747870461893e+06	(2.11601186014303e+01dB,1.77770842150945e+02°)
1.20580782769076e+06	(2.11600416944028e+01dB,1.77755340895186e+02°)
1.21419488439505e+06	(2.11599637152058e+01dB,1.77739732136521e+02°)
1.22264027769207e+06	(2.11598846489084e+01dB,1.77724015132174e+02°)
1.23114441334492e+06	(2.11598044803744e+01dB,1.77708189132769e+02°)
1.23970769993899e+06	(2.11597231942726e+01dB,1.77692253388486e+02°)
1.24833054890161e+06	(2.11596407750283e+01dB,1.77676207138984e+02°)
1.25701337452183e+06	(2.11595572068838e+01dB,1.77660049622629e+02°)
1.26575659397028e+06	(2.11594724738337e+01dB,1.77643780069522e+02°)
1.27456062731927e+06	(2.11593865596685e+01dB,1.77627397707636e+02°)
1.28342589756291e+06	(2.11592994479557e+01dB,1.77610901758147e+02°)
1.29235283063750e+06	(2.11592111220146e+01dB,1.77594291435409e+02°)
1.30134185544194e+06	(2.11591215649515e+01dB,1.77577565951544e+02°)
1.31039340385837e+06	(2.11590307596352e+01dB,1.77560724511007e+02°)
1.31950791077290e+06	(2.11589386886908e+01dB,1.77543766313641e+02°)
1.32868581409652e+06	(2.11588453345149e+01dB,1.77526690555411e+02°)
1.33792755478612e+06	(2.11587506792334e+01dB,1.77509496422968e+02°)
1.34723357686569e+06	(2.11586547047584e+01dB,1.77492183101333e+02°)
1.35660432744768e+06	(2.11585573927261e+01dB,1.77474749767686e+02°)
1.36604025675440e+06	(2.11584587245323e+01dB,1.77457195595963e+02°)
1.37554181813975e+06	(2.11583586813018e+01dB,1.77439519750643e+02°)
1.38510946811093e+06	(2.11582572439206e+01dB,1.77421721395979e+02°)
1.39474366635041e+06	(2.11581543929793e+01dB,1.77403799685154e+02°)
1.40444487573800e+06	(2.11580501088104e+01dB,1.77385753767962e+02°)
1.41421356237310e+06	(2.11579443714947e+01dB,1.77367582789999e+02°)
1.42405019559708e+06	(2.11578371608062e+01dB,1.77349285888004e+02°)
1.43395524801583e+06	(2.11577284562568e+01dB,1.77330862195213e+02°)
1.44392919552250e+06	(2.11576182370664e+01dB,1.77312310838246e+02°)
1.45397251732032e+06	(2.11575064821827e+01dB,1.77293630938606e+02°)
1.46408569594563e+06	(2.11573931702354e+01dB,1.77274821609557e+02°)
1.47426921729111e+06	(2.11572782795775e+01dB,1.77255881960721e+02°)
1.48452357062906e+06	(2.11571617882582e+01dB,1.77236811095722e+02°)
1.49484924863494e+06	(2.11570436740184e+01dB,1.77217608109829e+02°)
1.50524674741107e+06	(2.11569239143056e+01dB,1.77198272096102e+02°)
1.51571656651040e+06	(2.11568024862273e+01dB,1.77178802136858e+02°)
1.52625920896057e+06	(2.11566793666006e+01dB,1.77159197312122e+02°)
1.53687518128802e+06	(2.11565545319071e+01dB,1.77139456694191e+02°)
1.54756499354240e+06	(2.11564279582980e+01dB,1.77119579346817e+02°)
1.55832915932101e+06	(2.11562996216265e+01dB,1.77099564333664e+02°)
1.56916819579351e+06	(2.11561694973609e+01dB,1.77079410704375e+02°)
1.58008262372676e+06	(2.11560375606796e+01dB,1.77059117509195e+02°)
1.59107296750985e+06	(2.11559037863806e+01dB,1.77038683787360e+02°)
1.60213975517925e+06	(2.11557681489409e+01dB,1.77018108573996e+02°)
1.61328351844426e+06	(2.11556306224739e+01dB,1.76997390897770e+02°)
1.62450479271248e+06	(2.11554911807099e+01dB,1.76976529776994e+02°)
1.63580411711557e+06	(2.11553497970559e+01dB,1.76955524228839e+02°)
1.64718203453516e+06	(2.11552064445363e+01dB,1.76934373262351e+02°)
1.65863909162889e+06	(2.11550610958019e+01dB,1.76913075878415e+02°)
1.67017583885675e+06	(2.11549137231146e+01dB,1.76891631071256e+02°)
1.68179283050744e+06	(2.11547642983682e+01dB,1.76870037829941e+02°)
1.69349062472506e+06	(2.11546127930621e+01dB,1.76848295136022e+02°)
1.70526978353592e+06	(2.11544591783044e+01dB,1.76826401965043e+02°)
1.71713087287552e+06	(2.11543034247972e+01dB,1.76804357283407e+02°)
1.72907446261574e+06	(2.11541455028387e+01dB,1.76782160052200e+02°)
1.74110112659226e+06	(2.11539853823327e+01dB,1.76759809227140e+02°)
1.75321144263208e+06	(2.11538230327494e+01dB,1.76737303754688e+02°)
1.76540599258132e+06	(2.11536584231435e+01dB,1.76714642575086e+02°)
1.77768536233315e+06	(2.11534915221387e+01dB,1.76691824621545e+02°)
1.79005014185596e+06	(2.11533222979368e+01dB,1.76668848820204e+02°)
1.80250092522167e+06	(2.11531507182962e+01dB,1.76645714090858e+02°)
1.81503831063433e+06	(2.11529767505085e+01dB,1.76622419343064e+02°)
1.82766290045881e+06	(2.11528003614714e+01dB,1.76598963486116e+02°)
1.84037530124976e+06	(2.11526215175562e+01dB,1.76575345413589e+02°)
1.85317612378075e+06	(2.11524401846952e+01dB,1.76551564014856e+02°)
1.86606598307363e+06	(2.11522563283870e+01dB,1.76527618176589e+02°)
1.87904549842804e+06	(2.11520699135999e+01dB,1.76503506770382e+02°)
1.89211529345120e+06	(2.11518809048610e+01dB,1.76479228666584e+02°)
1.90527599608789e+06	(2.11516892661923e+01dB,1.76454782725774e+02°)
1.91852823865054e+06	(2.11514949611337e+01dB,1.76430167802577e+02°)
1.93187265784970e+06	(2.11512979526689e+01dB,1.76405382737908e+02°)
1.94530989482458e+06	(2.11510982033527e+01dB,1.76380426374344e+02°)
1.95884059517387e+06	(2.11508956751461e+01dB,1.76355297538359e+02°)
1.97246540898673e+06	(2.11506903295587e+01dB,1.76329995055684e+02°)
1.98618499087409e+06	(2.11504821275248e+01dB,1.76304517740485e+02°)
2.00000000000002e+06	(2.11502710294449e+01dB,1.76278864399166e+02°)
2.01391110011345e+06	(2.11500569951885e+01dB,1.76253033831866e+02°)
2.02791895958007e+06	(2.11498399840588e+01dB,1.76227024829338e+02°)
2.04202425141440e+06	(2.11496199548207e+01dB,1.76200836176748e+02°)
2.05622765331215e+06	(2.11493968656433e+01dB,1.76174466648246e+02°)
2.07052984768277e+06	(2.11491706741387e+01dB,1.76147915012313e+02°)
2.08493152168226e+06	(2.11489413373399e+01dB,1.76121180028628e+02°)
2.09943336724615e+06	(2.11487088116784e+01dB,1.76094260448802e+02°)
2.11403608112278e+06	(2.11484730529762e+01dB,1.76067155014792e+02°)
2.12874036490674e+06	(2.11482340164925e+01dB,1.76039862465012e+02°)
2.14354692507260e+06	(2.11479916568279e+01dB,1.76012381525052e+02°)
2.15845647300887e+06	(2.11477459279742e+01dB,1.75984710913792e+02°)
2.17346972505213e+06	(2.11474967832766e+01dB,1.75956849340277e+02°)
2.18858740252150e+06	(2.11472441754855e+01dB,1.75928795509830e+02°)
2.20381023175324e+06	(2.11469880566538e+01dB,1.75900548114772e+02°)
2.21913894413571e+06	(2.11467283782029e+01dB,1.75872105840531e+02°)
2.23457427614446e+06	(2.11464650908767e+01dB,1.75843467364060e+02°)
2.25011696937764e+06	(2.11461981447476e+01dB,1.75814631353793e+02°)
2.26576777059162e+06	(2.11459274892039e+01dB,1.75785596469598e+02°)
2.28152743173687e+06	(2.11456530729398e+01dB,1.75756361362731e+02°)
2.29739670999409e+06	(2.11453748439470e+01dB,1.75726924675791e+02°)
2.31337636781060e+06	(2.11450927495047e+01dB,1.75697285042678e+02°)
2.32946717293693e+06	(2.11448067361863e+01dB,1.75667441090081e+02°)
2.34566989846378e+06	(2.11445167498017e+01dB,1.75637391432820e+02°)
2.36198532285908e+06	(2.11442227354149e+01dB,1.75607134676881e+02°)
2.37841423000546e+06	(2.11439246373990e+01dB,1.75576669423976e+02°)
2.39495740923788e+06	(2.11436223993389e+01dB,1.75545994265356e+02°)
